#      date    lon    lat    value 
 1901-07-01 -17.25  12.25 9.96921e+36 
 1901-07-01 -16.75  12.25     1881 
 1901-07-01 -16.25  12.25     1872 
 1901-07-01 -15.75  12.25   1867.6 
 1901-07-01 -15.25  12.25   1800.5 
 1901-07-01 -14.75  12.25   1679.1 
 1901-07-01 -14.25  12.25   1591.5 
 1901-07-01 -13.75  12.25   1499.4 
 1901-07-01 -13.25  12.25   1487.8 
 1901-07-01 -12.75  12.25   1499.1 
 1901-07-01 -12.25  12.25   1499.8 
 1901-07-01 -11.75  12.25   1472.2 
 1901-07-01 -17.25  12.75 9.96921e+36 
 1901-07-01 -16.75  12.75   1632.8 
 1901-07-01 -16.25  12.75     1623 
 1901-07-01 -15.75  12.75   1619.8 
 1901-07-01 -15.25  12.75   1559.7 
 1901-07-01 -14.75  12.75   1446.9 
 1901-07-01 -14.25  12.75   1359.9 
 1901-07-01 -13.75  12.75   1290.8 
 1901-07-01 -13.25  12.75   1328.7 
 1901-07-01 -12.75  12.75   1349.8 
 1901-07-01 -12.25  12.75   1356.8 
 1901-07-01 -11.75  12.75   1343.7 
 1901-07-01 -17.25  13.25 9.96921e+36 
 1901-07-01 -16.75  13.25   1360.6 
 1901-07-01 -16.25  13.25   1379.7 
 1901-07-01 -15.75  13.25   1370.4 
 1901-07-01 -15.25  13.25   1331.4 
 1901-07-01 -14.75  13.25   1236.5 
 1901-07-01 -14.25  13.25   1147.7 
 1901-07-01 -13.75  13.25   1108.8 
 1901-07-01 -13.25  13.25   1155.6 
 1901-07-01 -12.75  13.25     1183 
 1901-07-01 -12.25  13.25   1197.3 
 1901-07-01 -11.75  13.25   1189.3 
 1901-07-01 -17.25  13.75 9.96921e+36 
 1901-07-01 -16.75  13.75   1272.9 
 1901-07-01 -16.25  13.75   1123.3 
 1901-07-01 -15.75  13.75   1124.9 
 1901-07-01 -15.25  13.75   1111.5 
 1901-07-01 -14.75  13.75   1048.3 
 1901-07-01 -14.25  13.75    971.4 
