zone,year,elevation,slope,area_km2,delta_km2,precip_mm,flood
Dakar_Centre,2015,5.51,0.96,1.422,-0.354,645.2,0
Dakar_Centre,2016,5.51,0.96,2.052,0.276,451.5,1
Dakar_Centre,2017,5.51,0.96,1.965,0.189,336.8,1
Dakar_Centre,2018,5.51,0.96,2.025,0.249,243.8,1
Dakar_Centre,2019,5.51,0.96,1.989,0.213,388.2,1
Dakar_Centre,2020,5.51,0.96,2.091,0.315,532.3,1
Dakar_Centre,2021,5.51,0.96,1.958,0.182,572.2,1
Dakar_Centre,2022,5.51,0.96,1.972,0.196,734.9,1
Dakar_Centre,2023,5.51,0.96,1.941,0.165,525.1,0
Dakar_Centre,2024,5.51,0.96,1.961,0.185,422.8,1
Pikine,2015,4.97,1.24,1.17,-0.145,659.8,0
Pikine,2016,4.97,1.24,1.69,0.375,449.4,1
Pikine,2017,4.97,1.24,1.573,0.258,345.8,1
Pikine,2018,4.97,1.24,1.659,0.344,256.3,1
Pikine,2019,4.97,1.24,1.573,0.258,400.3,1
Pikine,2020,4.97,1.24,1.486,0.171,552.0,1
Pikine,2021,4.97,1.24,1.499,0.184,596.7,1
Pikine,2022,4.97,1.24,1.442,0.127,733.8,0
Pikine,2023,4.97,1.24,1.427,0.112,550.2,0
Pikine,2024,4.97,1.24,1.491,0.176,431.9,1
Guediawaye,2015,4.02,1.15,1.931,-0.23,662.9,0
Guediawaye,2016,4.02,1.15,2.518,0.357,459.4,1
Guediawaye,2017,4.02,1.15,2.415,0.254,337.8,1
Guediawaye,2018,4.02,1.15,2.361,0.2,264.6,0
Guediawaye,2019,4.02,1.15,2.772,0.611,413.7,1
Guediawaye,2020,4.02,1.15,2.979,0.818,554.1,1
Guediawaye,2021,4.02,1.15,2.652,0.491,594.7,1
Guediawaye,2022,4.02,1.15,2.744,0.583,723.1,1
Guediawaye,2023,4.02,1.15,2.736,0.575,566.4,1
Guediawaye,2024,4.02,1.15,2.891,0.73,422.1,1
Keur_Massar,2015,10.32,1.31,3.076,-3.055,630.9,0
Keur_Massar,2016,10.32,1.31,5.024,-1.107,433.8,0
Keur_Massar,2017,10.32,1.31,5.069,-1.062,343.8,0
Keur_Massar,2018,10.32,1.31,11.655,5.524,253.7,1
Keur_Massar,2019,10.32,1.31,10.259,4.128,386.0,1
Keur_Massar,2020,10.32,1.31,4.142,-1.989,542.3,0
Keur_Massar,2021,10.32,1.31,3.759,-2.372,577.6,0
Keur_Massar,2022,10.32,1.31,3.238,-2.893,708.6,0
Keur_Massar,2023,10.32,1.31,2.982,-3.149,547.8,0
Keur_Massar,2024,10.32,1.31,3.359,-2.772,427.7,0
